Date,H_Team,H_MP,H_FG,H_FGA,H_FG%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_+/-,A_Team,A_MP,A_FG,A_FGA,A_FG%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_PTS,A_+/-
"June 28, 2021",PHO,240,38,84,.452,9,26,.346,17,20,.850,7,34,41,22,6,1,14,19,102,,LAC,240,46,84,.548,10,30,.333,14,15,.933,2,38,40,20,8,2,9,16,116,
"June 27, 2021",ATL,240,39,84,.464,15,37,.405,9,16,.563,9,26,35,20,8,7,12,22,102,,MIL,240,45,88,.511,11,29,.379,12,21,.571,15,35,50,27,8,5,11,18,113,
"June 26, 2021",LAC,240,27,83,.325,5,31,.161,21,32,.656,15,36,51,13,4,2,10,19,80,,PHO,240,31,86,.360,4,20,.200,18,21,.857,17,42,59,16,4,8,14,27,84,
"June 25, 2021",MIL,240,50,96,.521,15,41,.366,10,16,.625,16,31,47,29,14,3,15,20,125,,ATL,240,34,82,.415,9,36,.250,14,17,.824,7,27,34,13,8,4,19,22,91,
"June 24, 2021",LAC,240,37,82,.451,12,34,.353,20,24,.833,10,41,51,20,8,5,11,15,106,,PHO,240,35,90,.389,10,32,.313,12,13,.923,11,32,43,24,5,3,10,19,92,
"June 23, 2021",MIL,240,47,102,.461,8,36,.222,11,14,.786,12,33,45,27,6,4,8,14,113,,ATL,240,47,95,.495,8,32,.250,14,16,.875,12,39,51,19,5,2,11,17,116,
"June 22, 2021",PHO,240,41,82,.500,6,26,.231,16,18,.889,7,32,39,24,5,3,9,20,104,,LAC,240,36,80,.450,13,34,.382,18,24,.750,7,32,39,18,3,4,8,19,103,
"June 20, 2021",PHI,240,34,80,.425,9,28,.321,19,25,.760,7,41,48,26,7,4,17,28,96,,ATL,240,36,81,.444,7,27,.259,24,32,.750,6,38,44,22,9,1,10,23,103,
"June 20, 2021",PHO,240,49,89,.551,13,32,.406,9,9,1.000,7,36,43,31,5,3,7,16,120,,LAC,240,40,88,.455,20,47,.426,14,17,.824,10,29,39,23,6,3,9,17,114,
"June 19, 2021",BRK,265,39,84,.464,12,39,.308,21,25,.840,11,35,46,23,4,3,13,20,111,,MIL,265,43,98,.439,15,36,.417,14,21,.667,18,30,48,20,9,7,7,20,115,
"June 18, 2021",LAC,240,48,85,.565,20,39,.513,15,17,.882,10,23,33,27,13,6,6,16,131,,UTA,240,42,86,.488,21,44,.477,14,19,.737,16,27,43,19,4,0,15,19,119,
"June 18, 2021",ATL,240,38,92,.413,10,31,.323,13,24,.542,8,39,47,19,6,3,12,22,99,,PHI,240,38,93,.409,12,29,.414,16,23,.696,14,37,51,15,7,5,11,24,104,
"June 17, 2021",MIL,240,37,82,.451,7,33,.212,23,28,.821,15,36,51,14,12,6,13,13,104,,BRK,240,36,81,.444,9,30,.300,8,14,.571,9,30,39,14,11,1,16,18,89,
"June 16, 2021",UTA,240,36,80,.450,20,54,.370,19,27,.704,7,29,36,15,7,1,13,21,111,,LAC,240,41,80,.513,16,40,.400,21,25,.840,8,31,39,17,11,3,10,22,119,
"June 16, 2021",PHI,240,35,75,.467,13,30,.433,23,38,.605,7,37,44,20,7,6,15,21,106,,ATL,240,39,85,.459,9,26,.346,22,28,.786,10,30,40,14,10,4,11,28,109,
"June 15, 2021",BRK,240,38,77,.494,16,43,.372,22,25,.880,2,34,36,27,4,4,9,19,114,,MIL,240,41,83,.494,13,32,.406,13,17,.765,4,31,35,18,6,5,12,24,108,
"June 14, 2021",LAC,240,36,77,.468,15,37,.405,31,38,.816,10,34,44,19,8,7,10,24,118,,UTA,240,33,77,.429,17,42,.405,21,26,.808,8,31,39,19,4,3,11,32,104,
"June 14, 2021",ATL,240,37,101,.366,12,40,.300,17,21,.810,12,37,49,24,5,4,4,18,103,,PHI,240,37,85,.435,11,27,.407,15,21,.714,8,47,55,23,2,6,12,18,100,
"June 13, 2021",DEN,240,45,98,.459,14,37,.378,14,21,.667,7,30,37,22,6,3,8,24,118,,PHO,240,44,85,.518,8,22,.364,29,31,.935,7,41,48,18,6,6,14,21,125,
"June 13, 2021",MIL,240,39,88,.443,16,47,.340,13,20,.650,4,38,42,27,10,7,12,22,107,,BRK,240,36,83,.434,10,33,.303,14,18,.778,3,40,43,20,7,3,17,20,96,
"June 12, 2021",LAC,240,50,89,.562,19,36,.528,13,16,.813,10,31,41,21,6,2,9,18,132,,UTA,240,36,84,.429,19,44,.432,15,17,.882,9,29,38,15,7,1,13,22,106,
"June 11, 2021",DEN,240,39,95,.411,14,41,.341,10,16,.625,18,28,46,21,4,3,14,21,102,,PHO,240,43,81,.531,12,26,.462,18,20,.900,4,34,38,26,10,2,12,13,116,
"June 11, 2021",ATL,240,39,82,.476,6,23,.261,27,32,.844,11,25,36,15,6,1,11,28,111,,PHI,240,46,79,.582,10,21,.476,25,39,.641,10,26,36,28,8,4,10,26,127,
"June 10, 2021",UTA,240,42,76,.553,20,39,.513,13,21,.619,2,34,36,15,4,3,14,23,117,,LAC,240,40,85,.471,11,30,.367,20,23,.870,7,30,37,19,6,3,11,25,111,
"June 10, 2021",MIL,240,34,90,.378,6,31,.194,12,19,.632,7,49,56,12,3,8,10,12,86,,BRK,240,34,94,.362,8,32,.250,7,8,.875,7,43,50,15,8,5,7,22,83,
"June 9, 2021",PHO,240,45,94,.479,18,38,.474,15,17,.882,8,44,52,27,3,4,7,18,123,,DEN,240,36,90,.400,14,43,.326,12,20,.600,11,35,46,24,4,6,11,21,98,
"June 8, 2021",UTA,240,37,91,.407,17,50,.340,21,26,.808,12,34,46,18,5,6,7,24,112,,LAC,240,36,85,.424,16,42,.381,21,24,.875,9,33,42,22,3,6,8,24,109,
"June 8, 2021",PHI,240,46,87,.529,12,26,.462,14,22,.636,6,31,37,29,10,8,7,18,118,,ATL,240,38,83,.458,11,30,.367,15,18,.833,12,33,45,20,2,5,17,21,102,
